country_name,entity_id,country_code,__last_seen,__first_seen
Algerian,gb-hmt-sanctions.12842,DZ,2018-04-26 12:44:34.372823,2018-04-12 08:17:31.488198
Congolese,gb-hmt-sanctions.12812,CD,2018-04-26 12:44:35.806558,2018-04-12 08:17:17.269196
 Mauritanian (2,gb-hmt-sanctions.12859,,2018-04-26 12:44:40.135964,2018-04-12 08:17:19.897024
 Malian,gb-hmt-sanctions.12859,ML,2018-04-26 12:44:40.152468,2018-04-12 08:17:20.104511
Congolese,gb-hmt-sanctions.12838,CD,2018-04-26 12:44:46.834645,2018-04-12 08:17:17.752765
Turkish,gb-hmt-sanctions.12502,TR,2018-04-26 12:44:33.116994,2018-04-12 08:17:17.388210
Afghan,gb-hmt-sanctions.12455,,2018-04-26 12:44:33.972594,2018-04-12 08:17:12.851627
Iranian citizenship,gb-hmt-sanctions.12205,,2018-04-26 12:44:35.001911,2018-04-12 08:16:55.189124
Pakistani,gb-hmt-sanctions.12631,PK,2018-04-26 12:44:35.814915,2018-04-12 08:17:13.401694
 Afghan,gb-hmt-sanctions.12808,,2018-04-26 12:44:35.848112,2018-04-12 08:17:18.736750
Malian,gb-hmt-sanctions.12862,ML,2018-04-26 12:44:41.999900,2018-04-12 08:17:17.453133
French,gb-hmt-sanctions.13291,FR,2018-04-26 12:44:47.997913,2018-04-12 08:17:34.133243
Russian,gb-hmt-sanctions.13377,RU,2018-04-26 12:44:50.327772,2018-04-12 08:17:46.836155
Afghan,gb-hmt-sanctions.13142,,2018-04-26 12:44:50.636190,2018-04-12 08:17:35.433601
Bosnia and Herzegovina,gb-hmt-sanctions.13314,BA,2018-04-26 12:44:51.562474,2018-04-12 08:17:50.853777
DRC,gb-hmt-sanctions.13434,CD,2018-04-26 12:44:55.659512,2018-04-12 08:17:47.486179
DPRK,gb-hmt-sanctions.13421,KP,2018-04-26 12:45:01.052619,2018-04-12 08:17:42.844609
Mauritanian,gb-hmt-sanctions.12148,,2018-04-26 12:44:29.498768,2018-04-12 08:16:59.104856
Guinea-Bissau,gb-hmt-sanctions.12668,GW,2018-04-26 12:44:32.339392,2018-04-12 08:17:13.995418
Guinea-Bissau,gb-hmt-sanctions.12680,GW,2018-04-26 12:44:32.705329,2018-04-12 08:17:15.171026
Guinea-Bissau,gb-hmt-sanctions.12676,GW,2018-04-26 12:44:32.763550,2018-04-12 08:17:12.659763
Guinea-Bissau,gb-hmt-sanctions.12685,GW,2018-04-26 12:44:33.133576,2018-04-12 08:17:13.076466
Indonesian,gb-hmt-sanctions.12663,ID,2018-04-26 12:44:34.814163,2018-04-12 08:17:15.587737
Afghan,gb-hmt-sanctions.12556,,2018-04-26 12:44:36.139676,2018-04-12 08:17:14.195492
Guinea-Bissau,gb-hmt-sanctions.12682,GW,2018-04-26 12:44:39.761590,2018-04-12 08:17:12.151421
Russian,gb-hmt-sanctions.13303,RU,2018-04-26 12:44:47.602882,2018-04-12 08:17:36.855768
Iraqi,gb-hmt-sanctions.13134,IQ,2018-04-26 12:44:47.877890,2018-04-12 08:17:32.979907
Pakistani,gb-hmt-sanctions.12038,PK,2018-04-26 12:44:52.854574,2018-04-12 08:16:53.412970
Egyptian,gb-hmt-sanctions.13320,EG,2018-04-26 12:44:53.649424,2018-04-12 08:17:37.075918
Palestinian,gb-hmt-sanctions.13353,,2018-04-26 12:44:58.672597,2018-04-12 08:17:48.078155
Iranian,gb-hmt-sanctions.12234,IR,2018-04-26 12:44:25.148467,2018-04-12 08:17:00.165917
 German (2,gb-hmt-sanctions.12500,,2018-04-26 12:44:28.765052,2018-04-12 08:17:13.068128
 Moroccan,gb-hmt-sanctions.12500,MA,2018-04-26 12:44:28.781610,2018-04-12 08:17:13.145239
Afghan,gb-hmt-sanctions.12155,,2018-04-26 12:44:30.147003,2018-04-12 08:16:56.496386
Guinea-Bissau,gb-hmt-sanctions.12677,GW,2018-04-26 12:44:32.124496,2018-04-12 08:17:17.094162
Guinea-Bissau,gb-hmt-sanctions.12665,GW,2018-04-26 12:44:32.134018,2018-04-12 08:17:14.937429
Congolese,gb-hmt-sanctions.12438,CD,2018-04-26 12:44:32.281149,2018-04-12 08:17:12.718443
Guinea-Bissau,gb-hmt-sanctions.12683,GW,2018-04-26 12:44:32.609196,2018-04-12 08:17:12.859742
Guinea-Bissau,gb-hmt-sanctions.12684,GW,2018-04-26 12:44:32.714452,2018-04-12 08:17:11.361239
Guinea-Bissau,gb-hmt-sanctions.12669,GW,2018-04-26 12:44:35.298776,2018-04-12 08:17:14.362223
Indonesian,gb-hmt-sanctions.12628,ID,2018-04-26 12:44:35.457348,2018-04-12 08:17:18.555834
Guinea-Bissau,gb-hmt-sanctions.12686,GW,2018-04-26 12:44:36.190734,2018-04-12 08:17:13.609923
Indonesian,gb-hmt-sanctions.12627,ID,2018-04-26 12:44:36.364653,2018-04-12 08:17:13.235595
Guinea-Bissau,gb-hmt-sanctions.12678,GW,2018-04-26 12:44:37.117916,2018-04-12 08:17:12.509832
Congolese,gb-hmt-sanctions.12828,CD,2018-04-26 12:44:37.669295,2018-04-12 08:17:20.104510
Guinea-Bissau,gb-hmt-sanctions.12689,GW,2018-04-26 12:44:38.733125,2018-04-12 08:17:12.111011
Guinea-Bissau,gb-hmt-sanctions.12681,GW,2018-04-26 12:44:39.065452,2018-04-12 08:17:17.277655
Afghan,gb-hmt-sanctions.12810,,2018-04-26 12:44:40.644465,2018-04-12 08:17:16.710885
Pakistani,gb-hmt-sanctions.12867,PK,2018-04-26 12:44:45.171610,2018-04-12 08:17:17.162804
Filipino,gb-hmt-sanctions.10668,PH,2018-04-26 12:44:06.236944,2018-04-12 08:16:26.223723
Congolese,gb-hmt-sanctions.8736,CD,2018-04-26 12:44:23.382730,2018-04-12 08:16:25.506450
Indonesian,gb-hmt-sanctions.12037,ID,2018-04-26 12:44:38.490307,2018-04-12 08:16:55.981059
Afghan,gb-hmt-sanctions.12154,,2018-04-26 12:44:31.575380,2018-04-12 08:17:14.378800
French,gb-hmt-sanctions.13138,FR,2018-04-26 12:44:44.446309,2018-04-12 08:17:32.124773
French,gb-hmt-sanctions.13137,FR,2018-04-26 12:44:47.180480,2018-04-12 08:17:25.136661
Iraqi,gb-hmt-sanctions.13086,IQ,2018-04-26 12:44:51.954139,2018-04-12 08:17:42.348584
Norwegian,gb-hmt-sanctions.13128,NO,2018-04-26 12:44:41.694687,2018-04-12 08:17:24.415864
Syrian,gb-hmt-sanctions.13133,SY,2018-04-26 12:44:43.721183,2018-04-12 08:17:36.430768
Saudi Arabian,gb-hmt-sanctions.13315,SA,2018-04-26 12:44:49.015989,2018-04-12 08:17:37.250930
North Korean,gb-hmt-sanctions.13333,KP,2018-04-26 12:44:49.110326,2018-04-12 08:17:36.797381
German,gb-hmt-sanctions.13307,DE,2018-04-26 12:44:51.045525,2018-04-12 08:17:42.916160
 Central African Republic b,gb-hmt-sanctions.12998,,2018-04-26 12:44:51.579166,2018-04-12 08:17:22.636980
 South Sudan,gb-hmt-sanctions.12998,SS,2018-04-26 12:44:51.665966,2018-04-12 08:17:22.723568
Libyan,gb-hmt-sanctions.13312,LY,2018-04-26 12:44:52.182155,2018-04-12 08:17:44.036623
North Korean,gb-hmt-sanctions.13331,KP,2018-04-26 12:44:52.191799,2018-04-12 08:17:46.744473
South Sudan,gb-hmt-sanctions.13263,SS,2018-04-26 12:44:54.534264,2018-04-12 08:17:35.672238
Libyan,gb-hmt-sanctions.13318,LY,2018-04-26 12:44:56.217926,2018-04-12 08:17:37.564088
South Sudan,gb-hmt-sanctions.13266,SS,2018-04-26 12:45:01.764906,2018-04-12 08:17:38.676410
Pakistani,gb-hmt-sanctions.12630,PK,2018-04-26 12:44:37.398717,2018-04-12 08:17:14.403911
 Pakistani (2,gb-hmt-sanctions.12629,,2018-04-26 12:44:41.035853,2018-04-12 08:17:21.180817
 Saudi Arabian,gb-hmt-sanctions.12629,SA,2018-04-26 12:44:41.077685,2018-04-12 08:17:21.214134
Saudi Arabian,gb-hmt-sanctions.13129,SA,2018-04-26 12:44:42.061455,2018-04-12 08:17:30.549164
Iraqi,gb-hmt-sanctions.8254,IQ,2018-04-26 12:44:04.861467,2018-04-12 08:16:22.514089
Iranian national and US national/citizen,gb-hmt-sanctions.12206,,2018-04-26 12:44:32.133168,2018-04-12 08:16:49.863605
Somali,gb-hmt-sanctions.11091,SO,2018-04-26 12:56:23.869840,2018-04-12 08:16:37.627036
Qatari,gb-hmt-sanctions.13131,QA,2018-04-26 12:44:46.844267,2018-04-12 08:17:32.256185
Syrian,gb-hmt-sanctions.8785,SY,2018-04-26 12:44:05.746499,2018-04-12 08:16:23.098237
Yemen,gb-hmt-sanctions.13190,YE,2018-04-26 12:44:47.818987,2018-04-12 08:17:38.618128
Yemeni,gb-hmt-sanctions.13254,YE,2018-04-26 12:44:49.556747,2018-04-12 08:17:33.758676
Algerian,gb-hmt-sanctions.10691,DZ,2018-04-26 12:44:09.665241,2018-04-12 08:16:30.354291
Tunisian,gb-hmt-sanctions.11609,TN,2018-04-26 12:44:15.639611,2018-04-12 08:16:38.944514
North Korean,gb-hmt-sanctions.13337,KP,2018-04-26 12:44:50.057943,2018-04-12 08:17:39.556220
Russian,gb-hmt-sanctions.13376,RU,2018-04-26 12:44:53.132873,2018-04-12 08:17:42.847255
